"","PostalCode","DateOfSale","Type","Condition","Price","LivingArea","BasementArea","GroundArea","ConstructionYear","Levels","NewKitchen","NumberOfToilets","NewWindows","NewBathroom","NumberOfBedrooms","Balcony","CloseToWater","Garage","Adress","SalesPeriod","YearOfSale","ManyToilets","Basement","LargeGround","Age","HighHouse","Renovation","Quarter"
"30","8000",2004-01-22,"Ejerlejlighed","Medium",1053000,67,0,0,1945,1,NA,1,NA,NA,NA,"0","0","0","Tage-Hansens Gade 17, 5.tv.",119,2004,"0","0","0",59,"0","0","1"
"31","8000",2004-01-22,"Ejerlejlighed","Medium",1149000,64,0,0,1938,1,NA,1,NA,NA,NA,"1","0","0","Søndre Ringgade 57, st.th.",16,2004,"0","0","0",66,"0","0","1"
"32","8260",2004-01-23,"Ejerlejlighed","Medium",645000,45,0,0,1971,1,NA,1,NA,NA,NA,"0","0","0","Christian X´s Vej 10,2 Th",93,2004,"0","0","0",33,"0","0","1"
"33","8000",2004-01-23,"Ejerlejlighed","Good",1238000,92,0,0,1938,1,NA,1,NA,NA,3,"1","0","0","Sønderport 3, 2.tv.",136,2004,"0","0","0",66,"0","0","1"
"34","8200",2004-01-26,"Ejerlejlighed","Medium",1295000,85,0,0,1968,1,NA,1,NA,NA,2,"1","0","0","Jens Baggesens Vej 112, 5.th.",151,2004,"0","0","0",36,"0","0","1"
"35","8000",2004-01-26,"Ejerlejlighed","Medium",1229000,67,0,0,1952,1,NA,1,NA,NA,NA,"0","0","0","Gustav Wieds Vej 27, st.tv.",6,2004,"0","0","0",52,"0","0","1"
"36","8260",2004-01-27,"Ejerlejlighed","Bad",548000,47,0,0,1970,1,NA,1,NA,NA,NA,"1","0","0","Chr.x S Vej 6 lejl. 36",180,2004,"0","0","0",34,"0","0","1"
"37","8000",2004-01-27,"Ejerlejlighed","Medium",1780000,113,0,0,1910,1,NA,1,NA,NA,4,"0","0","0","Dalgas Avenue 27, st.th.",216,2004,"0","0","0",94,"0","0","1"
"38","8000",2004-01-27,"Ejerlejlighed","Good",1598000,119,0,0,1884,1,NA,1,NA,NA,3,"1","0","0","Dybbølgade 15, 1.+2.",18,2004,"0","0","0",120,"0","0","1"
"39","8000",2004-01-27,"Ejerlejlighed","Medium",1225000,69,0,0,1933,1,NA,1,NA,NA,NA,"1","0","0","Schleppegrellsgade 18 A, st.th.",15,2004,"0","0","0",71,"0","0","1"
"40","8000",2004-01-27,"Ejerlejlighed","Medium",1850000,138,0,0,1903,1,NA,1,NA,NA,NA,"0","0","0","Skt. Pauls Gade 7 B, st.",6,2004,"0","0","0",101,"0","0","1"
"41","8270",2004-01-28,"Ejerlejlighed","Good",915000,68,0,0,1976,1,NA,1,NA,NA,NA,"0","0","0","Nagelsvej 16, st.-1",141,2004,"0","0","0",28,"0","0","1"
"42","8000",2004-01-28,"Ejerlejlighed","Medium",1079000,53,0,0,1913,1,NA,0,NA,NA,2,"0","0","0","Læssøesgade 45, 2.th.",377,2004,"0","0","0",91,"0","0","1"
"43","8200",2004-01-29,"Ejerlejlighed","Medium",1350000,80,0,0,1935,1,NA,1,NA,NA,NA,"0","0","0","Langelandsgade 219, 3.th.",55,2004,"0","0","0",69,"0","0","1"
"44","8240",2004-01-29,"Ejerlejlighed","Good",1135000,76,0,0,1992,1,NA,1,NA,NA,1,"0","0","0","Julsøvej 262",53,2004,"0","0","0",12,"0","0","1"
"45","8000",2004-01-29,"Ejerlejlighed","Medium",1098000,47,0,0,1899,1,NA,1,NA,NA,2,"0","0","0","Samsøgade 78, 4. sal.",156,2004,"0","0","0",105,"0","0","1"
"46","8000",2004-01-29,"Ejerlejlighed","Good",1399000,77,0,0,1893,1,NA,1,NA,NA,2,"1","0","0","Brammersgade 2, 1.tv.**",11,2004,"0","0","0",111,"0","0","1"
"47","8200",2004-01-30,"Ejerlejlighed","Good",1188000,63,0,0,1988,1,NA,1,NA,NA,2,"1","0","0","Barthsgade 12 A, st.tv.**",73,2004,"0","0","0",16,"0","0","1"
"48","8000",2004-01-30,"Ejerlejlighed","Medium",1149000,67,0,0,1923,1,NA,1,NA,NA,2,"0","0","0","Nørre Alle 100, st.mf.**",157,2004,"0","0","0",81,"0","0","1"
"49","8000",2004-01-30,"Ejerlejlighed","Medium",1160000,79,0,0,1900,1,NA,1,NA,NA,3,"0","0","0","Museumsgade 24, st.",142,2004,"0","0","0",104,"0","0","1"
"50","8000",2004-01-30,"Ejerlejlighed","Medium",1769000,107,0,0,1894,1,NA,1,NA,NA,2,"1","0","0","Mindebrogade 2, 1.th.",156,2004,"0","0","0",110,"0","0","1"
"51","8000",2004-01-30,"Ejerlejlighed","Medium",1198000,79,0,0,1876,1,NA,1,NA,NA,2,"0","0","0","Jægergårdsgade 29, 1.",16,2004,"0","0","0",128,"0","0","1"
"52","8000",2004-01-30,"Ejerlejlighed","Medium",1245000,67,0,0,1857,1,NA,1,NA,NA,1,"1","0","0","Fredensgade 30, 3.th.**",52,2004,"0","0","0",147,"0","0","1"
"53","8000",2004-02-02,"Ejerlejlighed","Medium",1498000,82,0,0,1890,1,NA,1,NA,NA,NA,"0","0","0","Graven 14, 1.**",49,2004,"0","0","0",114,"0","0","1"
"54","8240",2004-02-03,"Ejerlejlighed","Good",1398000,99,0,0,1963,1,NA,1,NA,NA,NA,"1","0","0","Tirstrupvej 6, 1. th.",138,2004,"0","0","0",41,"0","0","1"
"55","8200",2004-02-04,"Ejerlejlighed","Medium",1180000,60,0,0,1936,1,NA,NA,NA,NA,NA,"0","0","0","Niels Juels Gade 58 A, 2.th.",0,2004,NA,"0","0",68,"0","0","1"
"56","8000",2004-02-05,"Ejerlejlighed","Medium",1498000,83,0,0,1932,1,NA,1,NA,NA,NA,"0","0","0","Falstersgade 46, 2.th.**",16,2004,"0","0","0",72,"0","0","1"
"57","8000",2004-02-05,"Ejerlejlighed","Medium",1268000,72,0,0,1961,1,NA,1,NA,NA,NA,"1","0","0","Nordborggade 49, 1.th.",9,2004,"0","0","0",43,"0","0","1"
"58","8240",2004-02-10,"Ejerlejlighed","Good",1095000,85,0,0,1972,1,"0",1,NA,NA,1,"1","0","0","Kantorparken 20, 3.th.",148,2004,"0","0","0",32,"0","0","1"
"59","8000",2004-02-10,"Ejerlejlighed","Medium",1525000,93,0,0,1900,1,NA,1,NA,NA,4,"0","0","0","Fynsgade 30, 1.tv.",21,2004,"0","0","0",104,"0","0","1"
"60","8260",2004-02-11,"Ejerlejlighed","Medium",634000,52,17,0,1971,1,NA,1,NA,NA,NA,"0","0","0","Grøndalsvej 58",62,2004,"0","1","0",33,"0","0","1"
"61","8000",2004-02-11,"Ejerlejlighed","Medium",682000,33,0,0,1897,1,NA,1,NA,NA,1,"0","0","0","Nørre Allé 87, 2.th.",153,2004,"0","0","0",107,"0","0","1"
"62","8000",2004-02-11,"Ejerlejlighed","Good",1099000,57,4,0,1910,1,NA,1,NA,NA,2,"0","0","0","Bogensegade 9, st.th.",12,2004,"0","1","0",94,"0","0","1"
"63","8000",2004-02-11,"Ejerlejlighed","Good",1178000,49,0,0,1885,1,NA,1,NA,NA,2,"0","0","0","H.N. Clausens Gade 8, 1.",8,2004,"0","0","0",119,"0","0","1"
"64","8000",2004-02-11,"Ejerlejlighed","Good",1368000,81,0,0,1870,1,NA,1,NA,NA,3,"0","0","0","Vesterport 8 D, 2.",51,2004,"0","0","0",134,"0","0","1"
"65","8000",2004-02-11,"Ejerlejlighed","Medium",1058000,54,0,0,1901,1,NA,1,NA,NA,2,"0","0","0","Schleppegrellsgade 8, 3.th.",8,2004,"0","0","0",103,"0","0","1"
"66","8000",2004-02-12,"Ejerlejlighed","Medium",1198000,56,0,0,1900,1,NA,1,NA,NA,2,"0","0","0","Skt. Pauls Gade 49, 1.th.",14,2004,"0","0","0",104,"0","0","1"
"67","8000",2004-02-13,"Ejerlejlighed","Good",3450000,186,0,0,2003,1,"0",2,NA,"0",4,"1","0","0","Langelinieparken 13, 1.th.",227,2004,"0","0","0",1,"0","0","1"
"68","8000",2004-02-13,"Ejerlejlighed","Good",1698000,120,0,0,1967,1,NA,1,NA,NA,3,"0","0","0","Marselis Boulevard 36, 1.th.",36,2004,"0","0","0",37,"0","0","1"
"69","8200",2004-02-16,"Ejerlejlighed","Medium",2085000,147,0,0,1924,2,NA,1,NA,NA,NA,"0","0","0","Peder Skrams Gade 51, 2.",160,2004,"0","0","0",80,"0","0","1"
"70","8260",2004-02-16,"Ejerlejlighed","Medium",985000,124,4,0,1972,1,NA,1,NA,NA,NA,"1","0","0","Grøndalsvej 68, 1 mf",159,2004,"0","1","0",32,"0","0","1"
"71","8000",2004-02-16,"Ejerlejlighed","Good",3250000,136,0,0,2003,1,NA,2,NA,NA,2,"1","0","0","Langelinieparken 5, 1.tv.",119,2004,"0","0","0",1,"0","0","1"
"72","8000",2004-02-17,"Ejerlejlighed","Good",1790000,92,0,0,1894,NA,NA,NA,NA,NA,NA,"0","0","0","Lollandsgade 28, st.mf.",1,2004,NA,"0","0",110,NA,"0","1"
"73","8000",2004-02-18,"Ejerlejlighed","Medium",1378000,83,0,0,1950,1,NA,1,NA,NA,4,"1","0","0","Vestre Ringgade 210, 2.th.",15,2004,"0","0","0",54,"0","0","1"
"74","8000",2004-02-19,"Ejerlejlighed","Medium",1698000,111,0,0,1897,2,NA,2,NA,NA,3,"1","0","0","Samsøgade 76, 3.+4.",109,2004,"0","0","0",107,"0","0","1"
"75","8000",2004-02-19,"Ejerlejlighed","Medium",1599000,82,0,0,1906,1,NA,1,NA,NA,3,"0","0","0","Skt. Pauls Gade 17, 2.tv.",19,2004,"0","0","0",98,"0","0","1"
"76","8000",2004-02-20,"Ejerlejlighed","Medium",775000,42,0,0,1925,1,NA,1,NA,NA,NA,"0","0","0","Jerichausgade 9, st.th.",16,2004,"0","0","0",79,"0","0","1"
"77","8000",2004-02-20,"Ejerlejlighed","Good",1799000,94,0,0,1931,1,NA,1,NA,NA,NA,"0","0","0","Herningvej 15, 4.th.",23,2004,"0","0","0",73,"0","0","1"
"78","8000",2004-02-21,"Ejerlejlighed","Medium",1449000,106,0,0,1933,1,NA,1,NA,NA,NA,"0","0","0","Silkeborgvej 92, st.th.**",61,2004,"0","0","0",71,"0","0","1"
"79","8000",2004-02-23,"Ejerlejlighed","Medium",1419000,80,0,0,1939,1,NA,1,NA,NA,NA,"1","0","0","Kongsvang Alle 16, st.tv.",18,2004,"0","0","0",65,"0","0","1"
"80","8000",2004-02-24,"Ejerlejlighed","Medium",1379000,73,0,0,1914,2,NA,1,NA,NA,NA,"1","0","0","Strandvejen 8, 4. + 5.",310,2004,"0","0","0",90,"0","0","1"
"81","8000",2004-02-24,"Ejerlejlighed","Good",3350000,182,0,0,2003,1,"0",2,NA,"0",4,"1","0","0","Langelinieparken 15, 1.th.",238,2004,"0","0","0",1,"0","0","1"
"82","8000",2004-02-24,"Ejerlejlighed","Medium",1149000,64,0,0,1899,1,NA,1,NA,NA,2,"0","0","0","Lundingsgade 3, st.",179,2004,"0","0","0",105,"0","0","1"
"83","8000",2004-02-24,"Ejerlejlighed","Medium",1198000,77,0,0,1870,1,NA,1,NA,NA,2,"0","0","0","Vesterport 8 B, 2.th.",105,2004,"0","0","0",134,"0","0","1"
"84","8000",2004-02-24,"Ejerlejlighed","Medium",1369000,78,0,0,1905,1,NA,1,NA,NA,NA,"0","0","0","Vesterbrogade 17, 1.th.**",53,2004,"0","0","0",99,"0","0","1"
"85","8000",2004-02-24,"Ejerlejlighed","Medium",1298000,93,0,0,1900,1,NA,1,NA,NA,2,"1","0","0","Odensegade 40, 4.",19,2004,"0","0","0",104,"0","0","1"
"86","8000",2004-02-24,"Ejerlejlighed","Medium",1260000,83,0,0,1958,1,NA,1,NA,NA,2,"1","0","0","Nordborggade 1, 3.tv.",18,2004,"0","0","0",46,"0","0","1"
"87","8000",2004-02-25,"Ejerlejlighed","Medium",829000,37,0,0,1896,1,NA,1,NA,NA,2,"0","0","0","Samsøgade 30, 4.",183,2004,"0","0","0",108,"0","0","1"
"88","8000",2004-02-25,"Ejerlejlighed","Good",2198000,126,0,0,1895,2,NA,1,NA,NA,NA,"1","0","0","Østbanetorvet 4, 3.tv.",59,2004,"0","0","0",109,"0","0","1"
"89","8000",2004-02-27,"Ejerlejlighed","Medium",1375000,71,0,0,1920,1,NA,1,NA,NA,3,"0","0","0","Bissensgade 13, 2.tv.",8,2004,"0","0","0",84,"0","0","1"
"90","8300",2004-02-28,"Ejerlejlighed","Good",775000,87,2,0,1972,1,NA,1,NA,NA,2,"1","1","0","Rådhusgade 55, st.th.",36,2004,"0","1","0",32,"0","0","1"
"91","8300",2004-02-28,"Ejerlejlighed","Good",748000,78,0,0,1989,1,NA,1,NA,NA,1,"1","1","0","Holsteinsgade 11, 1",109,2004,"0","0","0",15,"0","0","1"
"92","8300",2004-02-28,"Ejerlejlighed","Medium",685000,73,0,0,1963,1,NA,1,NA,NA,2,"1","1","0","Åparken 9, 2.tv.",106,2004,"0","0","0",41,"0","0","1"
"93","8000",2004-02-29,"Ejerlejlighed","Good",2398000,161,12,0,1898,1,NA,NA,NA,NA,NA,"0","0","0","Klostergade 10, 1.th.",9,2004,NA,"1","0",106,"0","0","1"
"94","8270",2004-03-01,"Ejerlejlighed","Medium",855000,96,0,0,1935,NA,NA,1,NA,NA,1,"0","0","0","Oddervej 81, St. Th.",578,2004,"0","0","0",69,NA,"0","1"
"95","8240",2004-03-01,"Ejerlejlighed","Medium",1198000,90,0,0,1981,1,NA,1,NA,NA,NA,"1","0","0","Skejbygårdsvej 2, st. 203.**",49,2004,"0","0","0",23,"0","0","1"
"96","8000",2004-03-01,"Ejerlejlighed","Good",1448000,98,0,0,1962,1,NA,1,NA,NA,1,"1","0","0","Kirkedammen 9, 3.tv.",12,2004,"0","0","0",42,"0","0","1"
"97","8000",2004-03-02,"Ejerlejlighed","Medium",1279000,71,0,0,1927,1,NA,1,NA,NA,NA,"0","0","0","Lundbyesgade 28, 3.th.**",35,2004,"0","0","0",77,"0","0","1"
"98","8000",2004-03-04,"Ejerlejlighed","Good",2425000,106,0,0,1917,1,NA,1,NA,NA,1,"1","0","0","Steinmannsgade 3, 3.",15,2004,"0","0","0",2,"0","1","1"
"99","8000",2004-03-04,"Ejerlejlighed","Medium",880000,50,23,0,1899,1,NA,1,NA,NA,1,"1","0","0","Sjællandsgade 119 A, st.tv.",25,2004,"0","1","0",105,"0","0","1"
"100","8000",2004-03-04,"Ejerlejlighed","Medium",2100000,176,0,0,1896,1,NA,2,NA,NA,1,"1","0","0","Skovvejen 46 N, st.",14,2004,"0","0","0",108,"0","0","1"
"101","8000",2004-03-08,"Ejerlejlighed","Medium",1198000,76,0,0,1890,1,NA,1,NA,NA,4,"0","0","0","Knudrisgade 38, 3.",13,2004,"0","0","0",114,"0","0","1"
"102","8000",2004-03-08,"Ejerlejlighed","Good",2448000,150,0,0,1899,1,NA,1,NA,NA,3,"1","0","0","Kystvejen 63, 4.tv.",53,2004,"0","0","0",105,"0","0","1"
"103","8200",2004-03-09,"Ejerlejlighed","Medium",1200000,83,0,0,1954,1,NA,1,NA,NA,3,"1","0","0","Marius Simonsens Vej 19, 1.th.",155,2004,"0","0","0",50,"0","0","1"
"104","8260",2004-03-09,"Ejerlejlighed","Medium",435000,38,0,0,1970,NA,NA,1,NA,NA,NA,"1","0","0","Grøfthøjparken 161",14,2004,"0","0","0",34,NA,"0","1"
"105","8000",2004-03-11,"Ejerlejlighed","Good",1438000,70,0,0,1928,1,NA,1,NA,NA,2,"0","0","0","Rådmd. Liisbergs Gade 5, st. th.",50,2004,"0","0","0",76,"0","0","1"
"106","8000",2004-03-12,"Ejerlejlighed","Good",1468000,113,0,0,1960,1,NA,1,NA,NA,2,"1","0","0","Skanderborgvej 40, st. -1**",181,2004,"0","0","0",44,"0","0","1"
"107","8000",2004-03-12,"Ejerlejlighed","Medium",998000,57,0,0,1945,1,NA,1,NA,NA,2,"1","0","0","Tage-Hansens Gade 11, 3.mf.",31,2004,"0","0","0",59,"0","0","1"
"108","8000",2004-03-12,"Ejerlejlighed","Good",1398000,62,0,0,1899,1,NA,1,NA,NA,NA,"0","0","0","Fynsgade 28, 2.tv.",9,2004,"0","0","0",105,"0","0","1"
"109","8000",2004-03-12,"Ejerlejlighed","Medium",1898000,145,0,0,1897,1,NA,1,NA,NA,2,"0","0","0","Christiansgade 24, 1.th.",31,2004,"0","0","0",107,"0","0","1"
"110","8000",2004-03-12,"Ejerlejlighed","Good",1238000,65,0,0,1933,1,NA,1,NA,NA,2,"0","0","0","Thorvaldsensgade 17, 4.tv.",8,2004,"0","0","0",71,"0","0","1"
"111","8000",2004-03-12,"Ejerlejlighed","Good",1133000,61,0,0,1934,1,NA,1,NA,NA,2,"1","0","0","Silkeborgvej 114, 1.tv",29,2004,"0","0","0",70,"0","0","1"
"112","8000",2004-03-12,"Ejerlejlighed","Good",1128000,59,0,0,1932,1,NA,1,NA,NA,2,"0","0","0","Silkeborgvej 196, 1.tv.",28,2004,"0","0","0",72,"0","0","1"
"113","8000",2004-03-14,"Ejerlejlighed","Medium",910000,46,0,0,1969,1,NA,1,NA,NA,NA,"1","0","0","Vestervang 40, 2., -4025",30,2004,"0","0","0",35,"0","0","1"
"114","8260",2004-03-15,"Ejerlejlighed","Medium",292000,23,0,0,1969,1,NA,1,NA,NA,NA,"0","0","0","Grøfthøjparken 151,st,-3",41,2004,"0","0","0",35,"0","0","1"
"115","8230",2004-03-17,"Ejerlejlighed","Good",410000,28,1,0,1970,1,NA,1,NA,NA,NA,"1","0","0","Dr. Holsts Vej 40,1 Lejl.227",94,2004,"0","1","0",34,"0","0","1"
"116","8260",2004-03-17,"Ejerlejlighed","Medium",630000,55,15,0,1972,1,NA,1,NA,NA,NA,"0","0","0","Grøndalsvej 66, 3.-1",30,2004,"0","1","0",32,"0","0","1"
"117","8000",2004-03-19,"Ejerlejlighed","Medium",1279000,59,0,0,1918,1,NA,1,NA,NA,NA,"0","0","0","De Mezas Vej 15, 2.tv.",11,2004,"0","0","0",86,"0","0","1"
"118","8000",2004-03-23,"Ejerlejlighed","Medium",1448000,73,0,0,1895,1,NA,1,NA,NA,3,"1","0","0","Heibergsgade 10 A,  1.",14,2004,"0","0","0",109,"0","0","1"
"119","8000",2004-03-23,"Ejerlejlighed","Medium",1798000,105,0,0,1915,1,NA,NA,NA,NA,NA,"0","0","0","Steinmannsgade 6, st.",9,2004,NA,"0","0",89,"0","0","1"
"120","8000",2004-03-24,"Ejerlejlighed","Good",1139000,53,0,0,1913,1,NA,1,NA,NA,NA,"0","0","0","Læssøesgade 45, 1.th.**",12,2004,"0","0","0",91,"0","0","1"
"121","8000",2004-03-24,"Ejerlejlighed","Medium",1364000,93,0,0,1907,1,NA,1,NA,NA,NA,"0","0","0","Vestergade 69, 1.tv.**",99,2004,"0","0","0",97,"0","0","1"
"122","8200",2004-03-25,"Ejerlejlighed","Medium",1669000,88,0,0,1912,1,NA,1,NA,NA,NA,"1","0","0","Dr. Margrethes Vej  23, 3.tv.",13,2004,"0","0","0",92,"0","0","1"
"123","8230",2004-03-27,"Ejerlejlighed","Good",410000,27,1,0,1970,1,NA,1,NA,NA,1,"1","0","0","Dr. Holsts Vej 32, 1. lejl. 158",78,2004,"0","1","0",34,"0","0","1"
"124","8000",2004-03-27,"Ejerlejlighed","Good",1252500,55,0,0,1886,1,NA,1,NA,NA,2,"0","0","0","Sjællandsgade 83, 2.tv.",8,2004,"0","0","0",118,"0","0","1"
"125","8000",2004-03-29,"Ejerlejlighed","Good",2595000,146,0,0,1907,1,NA,1,NA,NA,4,"1","0","0","Hans Broges Gade 39, 2.tv.",167,2004,"0","0","0",97,"0","0","1"
"126","8000",2004-03-29,"Ejerlejlighed","Bad",1048000,59,0,0,1932,1,NA,1,NA,NA,2,"0","0","0","Silkeborgvej 196, st.th.",19,2004,"0","0","0",72,"0","0","1"
"127","8000",2004-03-29,"Ejerlejlighed","Medium",1050000,62,0,0,1947,1,NA,1,NA,NA,NA,"0","0","0","Vestre Ringgade 66, st.th.**",85,2004,"0","0","0",57,"0","0","1"
"128","8260",2004-03-30,"Ejerlejlighed","Medium",648000,46,0,0,1968,1,NA,1,NA,NA,NA,"1","0","0","Kongsgårdsvej 24, stue",41,2004,"0","0","0",36,"0","0","1"
"129","8000",2004-03-31,"Ejerlejlighed","Good",1925000,122,6,0,1931,1,NA,1,NA,NA,4,"0","0","0","Skernvej 12, 3.tv.",15,2004,"0","1","0",73,"0","0","1"
"130","8000",2004-03-31,"Ejerlejlighed","Medium",1099000,72,0,0,1900,1,NA,1,NA,NA,NA,"0","0","0","Marstrandsgade 22, 4.**",49,2004,"0","0","0",104,"0","0","1"
"131","8000",2004-04-01,"Ejerlejlighed","Medium",1848000,130,0,0,1891,2,NA,1,NA,NA,NA,"0","0","0","Sjællandsgade 78A, 2",29,2004,"0","0","0",113,"0","0","2"
"132","8230",2004-04-02,"Ejerlejlighed","Medium",1195000,100,9,0,1970,2,NA,2,NA,NA,3,"1","0","0","Dr.holsts Vej 28, st 7",30,2004,"0","1","0",18,"0","1","2"
"133","8000",2004-04-02,"Ejerlejlighed","Good",1378000,75,0,0,1968,1,NA,1,NA,NA,2,"1","0","0","Langenæs Allé 43, 3.th.",9,2004,"0","0","0",36,"0","0","2"
"134","8200",2004-04-05,"Ejerlejlighed","Medium",1299000,64,0,0,1935,1,NA,1,NA,NA,NA,"0","0","0","Langelandsgade 219, st.tv.",11,2004,"0","0","0",69,"0","0","2"
